,Sentiment Mean,Max Sentiment Count,Emotion Mean,Max Emotion Count
Total,"{'negative': 0.2977611604617162, 'neutral': 0.4915224882016053, 'positive': 0.2107163747557244}","{'negative': 6651, 'neutral': 11034, 'positive': 4569}","{'anger': 0.571370300477203, 'joy': 0.25920036145731357, 'fear': 0.07851673685183383, 'sadness': 0.07625801087603713, 'neutral': 0.006080993758140178, 'surprise': 0.002087650919406902, 'disgust': 0.0008441834502181954}","{'anger': 12777, 'sadness': 1692, 'joy': 5817, 'fear': 1753, 'disgust': 16, 'surprise': 29, 'neutral': 170}"
Total w/o Emojis,"{'negative': 0.30837968301323043, 'neutral': 0.5309812277107665, 'positive': 0.1606391049908059}","{'negative': 6489, 'neutral': 11308, 'positive': 3228}","{'anger': 0.612745450761557, 'joy': 0.18269922278296907, 'fear': 0.10254392493919784, 'sadness': 0.0849013135122112, 'neutral': 0.007282256631908205, 'surprise': 0.0023312036750542486, 'disgust': 0.0009375368410626738}","{'anger': 12947, 'sadness': 1791, 'joy': 3891, 'fear': 2162, 'neutral': 186, 'surprise': 34, 'disgust': 14}"
Instagram,"{'negative': 0.2984792324490652, 'neutral': 0.46459535129808927, 'positive': 0.2369254767611379}","{'negative': 5066, 'neutral': 7854, 'positive': 3914}","{'anger': 0.5374403410799509, 'joy': 0.2940333116660303, 'sadness': 0.07809035330140643, 'fear': 0.07634432024700043, 'neutral': 0.005761184375140895, 'surprise': 0.002027210328684725, 'disgust': 0.0008780160251836484}","{'anger': 9091, 'sadness': 1306, 'joy': 4986, 'fear': 1293, 'disgust': 14, 'surprise': 22, 'neutral': 122}"
Instagram w/o Emojis,"{'negative': 0.3128125629113447, 'neutral': 0.5149603864078047, 'positive': 0.17222710365392593}","{'negative': 4906, 'neutral': 8117, 'positive': 2584}","{'anger': 0.5901660241784559, 'joy': 0.1944673925813812, 'fear': 0.10824600593626466, 'sadness': 0.08976887300653981, 'neutral': 0.007338214567779505, 'surprise': 0.00234735922554362, 'disgust': 0.0010293740478799181}","{'anger': 9257, 'sadness': 1404, 'joy': 3072, 'fear': 1697, 'neutral': 137, 'surprise': 27, 'disgust': 13}"
Chiara Ferragni Instagram,"{'negative': 0.20397110806113855, 'neutral': 0.40940314258856625, 'positive': 0.3866258608050867}","{'neutral': 1465, 'positive': 1373, 'negative': 718}","{'joy': 0.5279816808273388, 'anger': 0.2844776358912299, 'sadness': 0.09517699478373635, 'fear': 0.06532212734095373, 'neutral': 0.013966445102615918, 'surprise': 0.006291714205806792, 'disgust': 0.0015721324513707842}","{'fear': 231, 'sadness': 337, 'joy': 1888, 'anger': 1016, 'neutral': 63, 'surprise': 16, 'disgust': 5}"
Chiara Ferragni Instagram w/o Emojis,"{'negative': 0.23325974030560098, 'neutral': 0.43899283256014954, 'positive': 0.32774746103680275}","{'neutral': 1326, 'positive': 994, 'negative': 701}","{'anger': 0.35238579333682984, 'joy': 0.3513715577552843, 'fear': 0.1352063629822135, 'sadness': 0.12232298894728563, 'neutral': 0.020392087153596843, 'surprise': 0.0076624790754678505, 'disgust': 0.0028742882424162577}","{'fear': 411, 'sadness': 371, 'joy': 1075, 'anger': 1068, 'neutral': 71, 'surprise': 18, 'disgust': 7}"
Chiara Ferragni Brand Instagram,"{'negative': 0.26539514151487426, 'neutral': 0.4338719527706149, 'positive': 0.30073355314152567}","{'positive': 228, 'neutral': 342, 'negative': 202}","{'joy': 0.4380551693303587, 'anger': 0.42150472701422975, 'fear': 0.0639933629845944, 'sadness': 0.05271783059978179, 'neutral': 0.00986622883624595, 'surprise': 0.005300128670805013, 'disgust': 0.004755385550597943}","{'anger': 327, 'fear': 49, 'joy': 340, 'sadness': 39, 'neutral': 10, 'disgust': 4, 'surprise': 3}"
Chiara Ferragni Brand Instagram w/o Emojis,"{'negative': 0.3204883413543943, 'neutral': 0.4473650685084895, 'positive': 0.2321478936062272}","{'positive': 142, 'neutral': 277, 'negative': 196}","{'anger': 0.5257539025879355, 'joy': 0.22196206741013216, 'fear': 0.14628478991631058, 'sadness': 0.07036860647894787, 'neutral': 0.014178984463820613, 'surprise': 0.008763197081057522, 'disgust': 0.006734470929666536}","{'anger': 324, 'fear': 92, 'joy': 137, 'sadness': 42, 'neutral': 11, 'disgust': 4, 'surprise': 5}"
Instagram w/o Chiara Ferragni Affiliated Posts,"{'negative': 0.32739429789962193, 'neutral': 0.48218546467041284, 'positive': 0.19042024722124215}","{'negative': 4146, 'neutral': 6047, 'positive': 2313}","{'anger': 0.616525394151263, 'joy': 0.2186210875452503, 'fear': 0.08024083847668853, 'sadness': 0.07479813280040602, 'neutral': 0.0031746657863935502, 'surprise': 0.0006125878477025617, 'disgust': 0.0004412970674720466}","{'anger': 7748, 'sadness': 930, 'joy': 2758, 'fear': 1013, 'disgust': 5, 'surprise': 3, 'neutral': 49}"
Instagram w/o Chiara Ferragni Affiliated Post and w/o Emojis,"{'negative': 0.3324941662318258, 'neutral': 0.5376042006824552, 'positive': 0.12990162662825322}","{'negative': 4009, 'neutral': 6514, 'positive': 1448}","{'anger': 0.653481330514662, 'joy': 0.15345856224055396, 'fear': 0.09948808339148646, 'sadness': 0.08255019283424643, 'neutral': 0.0036925022156101407, 'surprise': 0.0006764280295063508, 'disgust': 0.0002706972152015244}","{'anger': 7865, 'sadness': 991, 'joy': 1860, 'fear': 1194, 'neutral': 55, 'surprise': 4, 'disgust': 2}"
X,"{'negative': 0.27343942104532115, 'neutral': 0.5900407238769686, 'positive': 0.13651974854806906}","{'negative': 747, 'neutral': 1681, 'positive': 351}","{'anger': 0.6476274028941951, 'joy': 0.15771610587374404, 'fear': 0.09996504379721359, 'sadness': 0.07852276588787123, 'neutral': 0.006717701225041185, 'surprise': 0.0022067964724129313, 'disgust': 0.0007529520448019105}","{'anger': 1804, 'fear': 275, 'joy': 448, 'sadness': 222, 'neutral': 25, 'surprise': 4, 'disgust': 1}"
X w/o emojis,"{'negative': 0.27343942104532115, 'neutral': 0.5900407238769686, 'positive': 0.13651974854806906}","{'negative': 747, 'neutral': 1681, 'positive': 351}","{'anger': 0.6476274028941951, 'joy': 0.15771610587374404, 'fear': 0.09996504379721359, 'sadness': 0.07852276588787123, 'neutral': 0.006717701225041185, 'surprise': 0.0022067964724129313, 'disgust': 0.0007529520448019105}","{'anger': 1804, 'fear': 275, 'joy': 448, 'sadness': 222, 'neutral': 25, 'surprise': 4, 'disgust': 1}"
Reddit,"{'negative': 0.3202901270945869, 'neutral': 0.5556885961253717, 'positive': 0.12402123691916635}","{'neutral': 1426, 'negative': 815, 'positive': 300}","{'anger': 0.7076650948268699, 'joy': 0.14664640719963984, 'fear': 0.06755040696422052, 'sadness': 0.062482730158536094, 'neutral': 0.007116337539536518, 'surprise': 0.001738202065643215, 'disgust': 0.0007410764859880063}","{'joy': 376, 'anger': 1809, 'sadness': 158, 'fear': 173, 'neutral': 22, 'surprise': 2, 'disgust': 1}"
Reddit w/o Emojis,"{'negative': 0.3205209106056012, 'neutral': 0.5599494944812055, 'positive': 0.11952947646356935}","{'neutral': 1438, 'negative': 813, 'positive': 288}","{'anger': 0.7098961457641286, 'joy': 0.14174410208039465, 'fear': 0.06935965139104991, 'sadness': 0.06331085407055177, 'neutral': 0.007229034814216246, 'surprise': 0.0017534638957225751, 'disgust': 0.0006001702700193213}","{'joy': 363, 'anger': 1813, 'sadness': 160, 'fear': 178, 'neutral': 23, 'surprise': 2}"
Articles,"{'negative': 0.277396926135854, 'neutral': 0.6583558172969166, 'positive': 0.06424622464116288}","{'neutral': 71, 'negative': 22, 'positive': 4}","{'anger': 0.7139085778575295, 'fear': 0.12928407416155696, 'joy': 0.0749172746820721, 'sadness': 0.04154296501926098, 'surprise': 0.01667678095016283, 'neutral': 0.015295615357337231, 'disgust': 0.00027208623281900875}","{'sadness': 4, 'anger': 72, 'fear': 12, 'joy': 7, 'neutral': 1, 'surprise': 1}"
Artciles w/o Emojis,"{'negative': 0.2763074524046066, 'neutral': 0.656739420725482, 'positive': 0.06695416235864671}","{'neutral': 70, 'negative': 22, 'positive': 5}","{'anger': 0.7138950694940466, 'fear': 0.12929295612914374, 'joy': 0.07956400892298822, 'sadness': 0.037181190477285686, 'surprise': 0.016785271312158134, 'neutral': 0.014959201941593099, 'disgust': 0.00026773180171712926}","{'sadness': 3, 'anger': 72, 'fear': 12, 'joy': 8, 'neutral': 1, 'surprise': 1}"
Italian,"{'negative': 0.2991969948301652, 'neutral': 0.4932720011172399, 'positive': 0.2075310050202926}","{'negative': 6585, 'neutral': 10864, 'positive': 4425}","{'anger': 0.5796492378245871, 'joy': 0.2600210808892402, 'fear': 0.07938156914122393, 'sadness': 0.07520833998935979}","{'anger': 12743, 'sadness': 1650, 'joy': 5734, 'fear': 1747}"
Italian w/o Emojis,"{'negative': 0.3100084444346416, 'neutral': 0.5330672953557206, 'positive': 0.15692426168233004}","{'negative': 6423, 'neutral': 11126, 'positive': 3096}","{'anger': 0.6223459807588261, 'joy': 0.18305776001324164, 'fear': 0.10385903695952341, 'sadness': 0.08405740224545913}","{'anger': 12915, 'sadness': 1746, 'joy': 3828, 'fear': 2156}"
English,"{'negative': 0.21511, 'neutral': 0.39081499999999963, 'positive': 0.3940763157894736}","{'negative': 66, 'neutral': 170, 'positive': 144}","{'neutral': 0.35612219761487246, 'joy': 0.2119571592100424, 'sadness': 0.1366803818633535, 'surprise': 0.12225943042231895, 'anger': 0.094808522749104, 'disgust': 0.0494380486872519, 'fear': 0.028734259225204464}","{'anger': 34, 'disgust': 16, 'surprise': 29, 'neutral': 170, 'sadness': 42, 'joy': 83, 'fear': 6}"
English w/o Emojis,"{'negative': 0.2198907894736842, 'neutral': 0.41764736842105254, 'positive': 0.3624626315789477}","{'negative': 66, 'neutral': 182, 'positive': 132}","{'neutral': 0.4029195939101842, 'joy': 0.16322027246987042, 'sadness': 0.1307501243072023, 'surprise': 0.12898304544214625, 'anger': 0.09115876183097595, 'disgust': 0.05187292653511241, 'fear': 0.03109527320335282}","{'anger': 32, 'neutral': 186, 'surprise': 34, 'sadness': 45, 'disgust': 14, 'joy': 63, 'fear': 6}"
